,Category,ID
901,Outerwear,993
902,Sleepwear,994
903,Swimwear,995
904,Uniforms & Workwear,996
905,Women's Clothing,997
906,Fantasy Sports,998
907,Recreational Aviation,999
909,Individual Sports,1000
910,Team Sports,1001
911,Water Activities,1002
912,Luggage & Travel Accessories,1003
913,Specialty Travel,1004
914,Ecotourism,1005
915,Historical Sites & Buildings,1006
916,Regional Parks & Gardens,1007
917,Theme Parks,1008
918,Zoos-Aquariums-Preserves,1009
921,Travel Agencies & Services,1010
922,Travel Guides & Travelogues,1011
923,Early Childhood Education,1012
924,Classic Vehicles,1013
925,City & Local Guides,1014
926,Alumni & Reunions,1015
927,Bowling,1016
929,Handball,1017
930,Vacation Offers,1019
931,Religious Music,1020
932,Pop Music,1021
933,Experimental & Industrial Music,1022
934,Folk & Traditional Music,1023
935,Music Equipment & Technology,1024
936,DJ Resources & Equipment,1025
937,Music Recording Technology,1026
938,Music Reference,1027
939,Music Composition & Theory,1028
940,Rap & Hip-Hop,1030
941,Reggae & Caribbean Music,1031
942,South Asian Music,1032
943,East Asian Music,1033
944,Arab & Middle Eastern Music,1034
945,Hard Rock & Progressive,1035
946,Metal (Music),1036
947,Classic Rock & Oldies,1037
948,Indie & Alternative Music,1038
949,Soul & R&B,1039
950,Blues,1040
951,Punk (Music),1041
952,Nintendo,1043
955,Sony PlayStation,1044
958,Xbox,1045
961,Handheld Game Consoles,1046
966,TV Comedies,1047
968,TV Talk Shows,1048
969,TV Reality Shows,1049
970,TV Game Shows,1050
971,TV Commercials,1055
972,Trucks,1056
973,SUVs,1057
974,Vans & Minivans,1058
975,Bentley,1059
976,Buick,1060
977,Ferrari,1061
978,Hummer,1062
979,Jaguar,1063
980,Lamborghini,1064
981,Land Rover,1065
982,Maserati,1066
983,Mini,1067
984,Rolls-Royce,1068
985,Scion,1069
986,Suzuki,1070
987,Smart Phones,1071
988,Documentary Films,1072
989,College Sports,1073
990,Beaches & Islands,1074
991,Courts & Judiciary,1075
992,Signage,1076
993,Sports News,1077
995,Christmas,1078
997,Halloween & October 31st,1079
998,Real Estate Listings,1080
999,Timeshares & Vacation Properties,1081
1000,Sports Coaching & Training,1082
1001,Sports Memorabilia,1083
1003,Geographic Reference,1084
1004,Movie Listings & Theater Showtimes,1085
1005,Film Festivals,1086
1007,Music Education & Instruction,1087
1009,Desktop Publishing,1088
1010,Audio & Music Software,1089
1011,Media Players,1090
1012,Samples & Sound Libraries,1091
1013,Audio Files Formats & Codecs,1092
1014,Philosophy,1093
1015,Drama Films,1094
1016,Comedy Films,1095
1018,"Thriller\, Crime & Mystery Films",1096
1019,Action & Adventure Films,1097
1020,Silent Films,1098
1021,Western Films,1099
1022,Superhero Films,1100
1023,Martial Arts Films,1101
1024,Classic Films,1102
1025,Cult & Indie Films,1103
1026,Animated Films,1104
1028,Musical Films,1105
1029,Movie Reference,1106
1030,Movie Reviews & Previews,1107
1031,Film & TV Awards,1108
1035,Mobile Apps & Add-Ons,1109
1037,TV Family-Oriented Shows,1110
1039,TV Crime & Legal Shows,1111
1040,TV Sci-Fi & Fantasy Shows,1112
1041,Music Awards,1113
1043,Record Labels,1114
1045,Recording Industry,1115
1047,Film & TV Industry,1116
1049,Film & TV Production,1117
1051,Special Education,1118
1052,Mountain & Ski Resorts,1119
1053,Lakes & Rivers,1120
1054,Unions & Labor Movement,1121
1055,Valentine's Day,1122
1056,Easter,1123
1058,Jewish Holidays,1124
1060,Thanksgiving,1125
1061,Skate Sports,1126
1062,Poverty & Hunger,1127
1063,Family & Relationships,1131
1064,Family,1132
1065,Marriage,1133
1066,Friendship,1134
1067,Romance,1135
1068,Public Records,1136
1069,Legal Forms,1137
1070,Business Finance,1138
1071,Investment Banking,1139
1072,Boats & Watercraft,1140
1074,Robotics,1141
1075,Web Apps & Online Tools,1142
1077,Entertainment Media,1143
1078,Entertainment Media Rentals,1144
1079,DVD & Video Rentals,1145
1082,Video Game Retailers,1146
1084,Personal Aircraft,1147
1087,Skiing & Snowboarding,1148
1088,Ice Skating,1149
1089,Mail & Package Delivery,1150
1090,Fluid Handling,1152
1091,Plumbing,1153
1092,Fashion Modeling,1155
1093,Home Theater Systems,1157
1095,Speakers,1158
1097,Business Operations,1159
1098,Commercial Lending,1160
1099,Public Finance,1161
1100,Consulting,1162
1101,Financial Markets,1163
1103,Economy News,1164
1105,Fiscal Policy News,1165
1108,Housing & Development,1166
1109,Painting,1167
1110,Earth Sciences,1168
1111,Paleontology,1169
1112,Bluetooth Accessories,1170
1113,Mobile & Wireless Accessories,1171
1114,Dress-Up & Fashion Games,1173
1117,Fun Tests & Silly Surveys,1174
1118,Roofing,1175
1119,Printing & Publishing,1176
1120,Writers Resources,1177
1121,Commercial & Investment Real Estate,1178
1122,Company News,1179
1124,Political Humor,1180
1125,Corporate & Financial Crime,1181
1126,Radio Equipment,1182
1127,Children's Literature,1183
1129,Literary Classics,1184
1130,Opera,1185
1132,Talk Radio,1186
1133,TV Guides & Reference,1187
1134,Car Electronics,1188
1137,Car Video,1189
1140,Automotive Industry,1190
1142,Bicycles & Accessories,1191
1147,Electronic Accessories,1192
1149,TV Dramas,1193
1150,TV Medical Shows,1194
1151,Arts Education,1195
1153,World Sports Competitions,1198
1154,Professional & Trade Associations,1199
1155,Business Formation,1200
1156,Opinion & Commentary,1201
1157,Political Polls & Surveys,1202
1158,Media Critics & Watchdogs,1203
1160,Journalism & News Industry,1204
1162,Discrimination & Identity Relations,1205
1164,Drag & Street Racing,1206
1166,Stunts & Dangerous Feats,1207
1167,African Music,1208
1168,World News,1209
1169,Swap Meets & Outdoor Markets,1210
1170,Ear Nose & Throat,1211
1171,Scooters & Mopeds,1212
1172,Campers & RVs,1213
1173,Commercial Vehicles,1214
1174,Cargo Trucks & Trailers,1215
1176,Engine & Transmission,1216
1177,Auto Exterior,1217
1178,Auto Interior,1218
1179,Beauty Pageants,1219
1180,Cosmetic Procedures,1220
1181,Intelligence & Counterterrorism,1221
1183,Online Image Galleries,1222
1184,Clip Art & Animated GIFs,1223
1185,Eyeglasses & Contacts,1224
1187,Wholesalers & Liquidators,1225
1188,Neuroscience,1226
1189,Computer Science,1227
1190,Apparel Services,1228
1191,Computer Education,1229
1193,Fiber & Textile Arts,1230
1194,Baby & Pet Names,1231
1195,House Painting & Finishing,1232
1196,Technical Reference,1233
1197,People Search,1234
1198,Steroids & Performance-Enhancing Drugs,1235
1199,Sexual Enhancement,1236
1200,Smoking & Smoking Cessation,1237
1201,Cleansing & Detoxification,1238
1202,Acupuncture & Chinese Medicine,1239
1203,Company Earnings,1240
1205,Mergers & Acquisitions,1241
1207,Reggaeton,1242
1210,Broadway & Musical Theater,1243
1211,Spoofs & Satire,1244
1212,Airport Parking & Transportation,1245
1214,Carnival & Mardi Gras,1246
1215,Air Force,1247
1216,Army,1248
1217,Navy,1249
1218,Marines,1250
1219,Scientology,1251
1220,Statistics,1252
1221,Health News,1253
1223,Atmospheric Science,1254
1224,Climate Change & Global Warming,1255
1227,Health Policy,1256
1233,Asians & Diaspora,1257
1234,Pagan & Esoteric Traditions,1258
1235,Scandals & Investigations,1259
1236,Troubled Relationships,1260
1237,Divorce & Separation,1261
1239,Parasites & Parasitic Diseases,1262
1240,Vaccines & Immunizations,1263
1244,Foreign Language Resources,1264
1245,Translation Tools & Resources,1265
1246,Foreign Language Study,1266
1248,"Vehicle Specs\, Reviews & Comparisons",1267
1250,Fuel Economy & Gas Prices,1268
1251,Vehicle Fuels & Lubricants,1269
1253,Birthdays & Name Days,1270
1254,New Year,1271
1255,Business & Corporate Law,1272
1256,Live Sporting Events,1273
1258,Christian Holidays,1274
1260,Islamic Holidays,1275
1262,"Contests\, Awards & Prizes",1276
1263,Tablet PCs,1277
1264,Insects & Entomology,1278
1267,VPN & Remote Access,1279
1268,Human Rights & Liberties,1280
1269,Privacy Issues,1281
1270,Grants & Financial Assistance,1282
1271,Tax Preparation & Planning,1283
1272,Prisons & Corrections,1284
1273,Latin Pop,1285
1275,Salsa & Tropical Music,1286
1276,Brazilian Music,1287
1277,Military History,1288
1279,Academic Conferences & Publications,1289
1280,Family-Oriented Games & Activities,1290
1282,Family Films,1291
1284,Small Kitchen Appliances,1292
1286,Major Kitchen Appliances,1293
1288,Vehicle Codes & Driving Laws,1294
1290,Places of Worship,1296
1291,Distributed & Parallel Computing,1298
1293,Machine Learning & Artificial Intelligence,1299
1294,CAD & CAM,1300
1297,Same-Sex Marriage,1301
1298,Communications & Media Studies,1302
1300,Public Speaking,1303
1302,Etiquette,1304
1303,Diving & Underwater Activities,1305
1304,Parking,1306
1305,Recycling,1307
1306,Study Abroad,1308
1307,Loyalty Cards & Programs,1309
1310,Romance Films,1310
1311,Action & Platform Games,1311
1312,Gangs & Organized Crime,1312
1313,Immigration Policy & Border Issues,1313
1315,Drug Laws & Policy,1314
1317,Video File Formats & Codecs,1315
1320,Public Policy,1316
1321,Microcars & City Cars,1317
1322,Flash Drives & Memory Cards,1318
1323,Memory Card Readers,1319
1324,Hard Drives,1320
1325,CD & DVD Drives & Burners,1321
1326,CD & DVD Storage Media,1322
1327,Data Backup & Recovery,1323
1328,E-Book Readers,1324
1330,Guitars,1325
1331,Pianos & Keyboards,1326
1332,Drums & Percussion,1327
1333,Endocrine Conditions,1328
1334,Thyroid Conditions,1329
1335,"Printers\, Copiers & Fax",1330
1337,Copiers,1331
1339,Fax Machines,1332
1341,Ink & Toner,1333
1343,Projectors & Screens,1334
1345,Carpooling & Ridesharing,1339
1346,Theology & Religious Study,1340
1347,Accounting & Financial Software,1341
